نوع البطولة,الفريق الأول,الفريق الثاني,موعد المباراة,النتيجة
الدوري المصري,إنبـي,طلائع الجيش,20-02-2023 - 19:00,- - -
الدوري المصري,الداخلية,الاتحاد السكندري,20-02-2023 - 17:00,- - -
الدوري الإسباني,خيتافي,فالنسيا,20-02-2023 - 22:00,- - -
الدوري الإيطالي,تورينو,كريمونيسي,20-02-2023 - 21:45,- - -
كأس الأمم الإفريقية | تحت 20,جنوب السودان | تحت 20,الكونغو | تحت 20,20-02-2023 - 19:00,- - -
كأس الأمم الإفريقية | تحت 20,أوغندا | تحت 20,إفريقيا الوسطى | تحت 20,20-02-2023 - 16:00,- - -
الدوري البرتغالي,بنفيكا,بوافيشتا,20-02-2023 - 23:15,- - -
الدوري البرتغالي,تشافيس,سبورتنج لشبونة,20-02-2023 - 21:00,- - -
دوري أبطال آسيا,الهلال,شباب الأهلي دبي,20-02-2023 - 20:00,- - -
دوري أبطال آسيا,الفيصلي,فولاد,20-02-2023 - 17:00,- - -
الدوري العراقي الممتاز,الشرطة,نفط ميسان,20-02-2023 - 19:30,- - -
الدوري العراقي الممتاز,النجف,أربيل,20-02-2023 - 17:15,- - -
دوري نجوم قطر,الأهلي,السد,20-02-2023 - 17:55,- - -
الدوري اليوناني,أوموليس فيلاثلون هراكليوس,أريس,20-02-2023 - 19:30,- - -
الدوري اليوناني,أتروميتوس,ليفادياكوس,20-02-2023 - 18:00,- - -
